产品名称,旅游方式,供应商,等级,景点个数,交通,用餐,自由活动,五分,四分,三分,总评价,出游人数,评价人数,出发地,最低报价,周日报价,周一报价,周二报价,周三报价,周四报价,周五报价,周六报价,跟团地点,旅游线路
美国旧金山+优胜美地国家公园4日3晚跟团游(3钻)·1号公路+圣塔芭芭拉+17里湾+爱之堡+含必付,跟团游,供应商： 开元周游,3晚3钻,共15个景点，包含10个经典景点：,暂无交通信息,12次自理,暂无自由活动信息,,,,,,,洛杉矶,2118,￥2118起,￥2118起,￥2118起,￥2118起,￥2118起,￥2118起,￥2118起,目的地跟团,西海岸
美国西海岸+盐湖城+黄石国家公园5日跟团游(3钻)·大提顿国家公园+羚羊彩穴+Outlet+3人立减,跟团游,供应商： 开元周游,4晚3钻,共15个景点，包含8个经典景点：,行车时长4小时,15次自理,暂无自由活动信息,,,,,,,洛杉矶,4309,￥4309起,￥4309起,￥4309起,￥4309起,￥4309起,,￥4309起,目的地跟团,西海岸
美国西海岸+黄石国家公园+盐湖城5日跟团游(3钻)·羚羊彩穴+奥特莱斯+大提顿+含多景点门票,跟团游,供应商： 开元周游,4晚3钻,共19个景点，包含9个经典景点：,行车时长4小时,15次自理,暂无自由活动信息,,,,,,,洛杉矶,4449,,￥4449起,,,,,,目的地跟团,西海岸
美国拉斯维加斯+大峡谷西峡+盐湖城4日跟团游(3钻)·西峡谷+羚羊彩穴,跟团游,供应商： 开元周游,3晚3钻,共12个景点，包含7个经典景点：,暂无交通信息,11次自理,暂无自由活动信息,,,,,,,洛杉矶,3899,￥3899起,￥3899起,￥3899起,￥3899起,￥3899起,￥3899起,￥3899起,目的地跟团,西海岸
美国拉斯维加斯+大峡谷西峡+盐湖城+旧金山6日跟团游(3钻)·羚羊彩穴+纳帕酒乡,跟团游,供应商： 开元周游,4晚3钻,共20个景点，包含9个经典景点：,行车时长0.5小时,17次自理,暂无自由活动信息,,,,,,,洛杉矶,4869,￥4869起,￥4869起,￥4869起,￥4869起,￥4869起,￥4869起,￥4869起,目的地跟团,西海岸
美国西海岸+拉斯维加斯+大峡谷西峡+盐湖城+黄石国家公园+旧金山8日跟团游(3钻)·羚羊彩穴+天空之镜+北美最大沙漠+纳帕酒庄,跟团游,供应商： 开元周游,7晚3钻,共28个景点，包含17个经典景点：,行车时长4小时,24次自理,暂无自由活动信息,,,,,,,洛杉矶,7299,￥7299起,￥7299起,￥7299起,￥7299起,,￥7299起,￥7299起,目的地跟团,西海岸
美国西海岸+盐湖城+黄石国家公园4日跟团游(3钻)·美西经典黄石+大提顿国家公园+三人报名立减,跟团游,供应商： 开元周游,3晚3钻,共11个景点，包含5个经典景点：,暂无交通信息,12次自理,暂无自由活动信息,,,,,,,盐湖城,2869,,,,,,￥2869起,,目的地跟团,西海岸
美国西海岸+拉斯维加斯+黄石国家公园+盐湖城7日跟团游(3钻)·羚羊彩穴+玲珑拱门+纪念碑山谷+3人立减优惠,跟团游,供应商： 开元周游,6晚3钻,共23个景点，包含11个经典景点：,行车时长4小时,21次自理,暂无自由活动信息,,,,,,,洛杉矶,4999,,￥4999起,,,,,,目的地跟团,西海岸
美国西海岸+拉斯维加斯+大峡谷西峡+盐湖城+黄石国家公园+旧金山9日跟团游(3钻)·羚羊彩穴+天空之镜+北美最大沙漠+纳帕酒庄,跟团游,供应商： 开元周游,8晚3钻,共32个景点，包含19个经典景点：,行车时长4小时,27次自理,暂无自由活动信息,,,,,,,洛杉矶,7719,￥7719起,￥7719起,￥7719起,￥7719起,,￥7719起,￥7719起,目的地跟团,西海岸
美国西海岸+拉斯维加斯+盐湖城+黄石国家公园8日跟团游(3钻)·羚羊彩穴+总统巨石+奥运村+奥特莱斯+含门票,跟团游,供应商： 开元周游,7晚3钻,共22个景点，包含11个经典景点：,暂无交通信息,24次自理,暂无自由活动信息,,,,,,,洛杉矶,6549,￥6549起,￥6549起,￥6549起,￥6549起,￥6549起,￥6549起,￥6549起,目的地跟团,西海岸
美国西海岸+盐湖城+黄石国家公园6日跟团游(3钻)·羚羊彩穴+总统巨石+奥运村+奥特莱斯+含门票,跟团游,供应商： 开元周游,5晚3钻,共20个景点，包含9个经典景点：,暂无交通信息,18次自理,暂无自由活动信息,,,,,,,洛杉矶,5829,￥5829起,￥5829起,￥5829起,￥5829起,￥5829起,￥5829起,￥5829起,目的地跟团,西海岸
美国拉斯维加斯+盐湖城+旧金山+优胜美地国家公园+大峡谷西峡7日跟团游(3钻)·羚羊彩穴+纳帕酒乡,跟团游,供应商： 开元周游,4晚3钻,共24个景点，包含13个经典景点：,行车时长0.5小时,19次自理,暂无自由活动信息,,,,,,,洛杉矶,5279,￥5279起,￥5279起,￥5279起,￥5279起,￥5279起,￥5279起,￥5279起,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+大峡谷西峡+盐湖城+黄石国家公园6日跟团游(3钻)·羚羊彩穴+北美最大沙漠+三人立减优惠活动,跟团游,供应商： 开元周游,5晚3钻,共18个景点，包含11个经典景点：,行车时长4小时,18次自理,暂无自由活动信息,,,,,,,洛杉矶,6679,￥6679起,￥6679起,￥6679起,￥6679起,,￥6679起,￥6679起,目的地跟团,西海岸
美国洛杉矶4日跟团游·主题乐园精选游,跟团游,供应商：走四方,3晚3钻,共20个景点，包含18个经典景点：,行车时长1.5小时,12次自理,暂无自由活动信息,(2),(1),(0),3.6?分,58人出游,5条点评,洛杉矶,3700,￥3700起,￥3700起,￥3700起,￥3700起,￥3700起,￥3700起,￥3700起,目的地跟团,西海岸
美国拉斯维加斯+洛杉矶4日3晚跟团游·西峡谷玻璃桥、拉斯维加斯三晚住大道·(4天)西峡畅游：西峡谷、羚羊彩穴或拉斯维加斯自由之旅二选一、三晚住拉斯维加斯大道【$5升级4星威龙,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共13个景点，包含8个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),2.0?分,36人出游,4条点评,拉斯维加斯,941,￥941起,￥941起,￥941起,￥941起,￥1131起,￥1131起,￥941起,目的地跟团,西海岸
美国洛杉矶+盐湖城+黄石国家公园+布莱斯峡谷国家公园+大提顿国家公园+杰克逊5日跟团游·盐湖城出+羚羊谷包伟湖+黄石盛景+2017特惠,跟团游,供应商：57us,4晚3钻,共14个景点，包含8个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),3.5?分,17人出游,2条点评,洛杉矶,3110,￥3110起,,,￥3110起,￥3110起,￥3110起,￥3110起,目的地跟团,西海岸
美国旧金山+洛杉矶+圣西蒙4日跟团游(3钻)·一号公路海岸、17里海湾、圣塔芭芭拉·<4日>【探索绝色美西】探索1号公路17里海湾+赫氏古堡+大苏尔+海象滩+圣塔芭芭拉+卡梅尔海,跟团游,供应商：联合发团,暂无酒店信息,共14个景点，包含8个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,,,,,,,,,,目的地跟团,西海岸
越野自驾·旧金山+1号公路+大峡谷+羚羊谷+拉斯+洛杉矶12日美国自驾游,跟团游,零售商：由爱玩兔直售，并提供咨询/预订/售后服务,"5晚3钻,3晚2钻,1晚4钻,1晚5钻",共19个景点，包含16个经典景点：,行车时长58.8小时,9次非自理，1次自理,自由活动1次,,,,,,,旧金山,18000,,,,,,,￥18800起,目的地跟团,西海岸
商务投资·加州一号公路自驾深度游+加州高铁周边土地考察【4人独立包团】,私家团,零售商：由爱玩兔直售，并提供咨询/预订/售后服务,"2晚4钻,1晚2钻,5晚3钻",共14个景点，包含11个经典景点：,行车时长27.3小时,8次非自理,自由活动1次,,,,,,,旧金山,18200,,,,,,,,目的地跟团,西海岸
越野自驾·加州1号公路+大峡谷+羚羊谷+黄石15日美国自驾游—FBI特勤用车,跟团游,零售商：由爱玩兔直售，并提供咨询/预订/售后服务,"10晚3钻,2晚2钻,1晚4钻",共27个景点，包含21个经典景点：,行车时长87.3小时,12次非自理，1次自理,自由活动1次,,,,,,,旧金山,28800,,,,,,,实时计价,目的地跟团,西海岸
美国盐湖城+黄石国家公园+大提顿国家公园5日私家团·【老美达人带你深度玩黄石】全两日黄石公园,私家团,供应商：途风（熊大旗下）,暂无酒店信息,共6个景点，包含3个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,盐湖城,10239,￥10239起,￥10239起,￥10239起,￥10239起,￥10239起,￥10239起,￥10239起,目的地跟团,西海岸
拉斯维加斯3日2晚跟团游(3钻)·【美西经典】拉斯维加斯自由活动,跟团游,供应商：纳美旅行,2晚3钻,共2个景点，包含1个经典景点：,行车时长4小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,942,￥942起,￥942起,￥942起,￥942起,￥1088起,￥1088起,￥1088起,目的地跟团,西海岸
美国洛杉矶+旧金山3日2晚跟团游(3钻)·伯克利-叮当车-17哩湾（A线）,跟团游,供应商：纳美旅行,2晚3钻,共4个景点，包含4个经典景点：,行车时长4小时,暂无用餐信息,暂无自由活动信息,,,,,,,,,,,,,,,,目的地跟团,西海岸
美国洛杉矶+旧金山3日2晚跟团游(3钻)·斯坦福-优胜美地-17哩湾（B线）,跟团游,供应商：纳美旅行,2晚3钻,共4个景点，包含4个经典景点：,行车时长4小时,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,1096,￥1096起,￥1096起,￥1096起,￥1096起,￥1096起,￥1096起,￥1096起,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+大峡谷国家公园+旧金山7日跟团游·【畅游美西】咆哮山庄++17里风景线,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共27个景点，包含13个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,旧金山,3401,￥3401起,￥3401起,￥3401起,￥3401起,￥3401起,￥3401起,￥3401起,目的地跟团,西海岸
美国洛杉矶+洛杉矶+拉斯维加斯+大峡谷国家公园6日跟团游·【畅游美西】咆哮山庄+17里风景线,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共20个景点，包含12个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,旧金山,2162,￥2162起,￥2162起,￥2162起,￥2162起,￥2162起,￥2162起,￥2162起,目的地跟团,西海岸
美国拉斯维加斯+塞多纳2日跟团游·【上羚羊时间入谷】光影上羚羊峡谷+小镇塞多纳2日游,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共4个景点，包含2个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,拉斯维加斯,2154,￥2154起,￥2154起,￥2154起,￥2154起,￥2154起,￥2154起,￥2154起,目的地跟团,西海岸
美国加利福尼亚州+洛杉矶3日跟团游·【途风首创?坐着房车去旅行】(3天)房车原生态露营体验小众游：像美国人一样玩一号公路,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共10个景点，包含6个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,3141,￥3141起,￥3141起,￥3141起,￥3141起,￥3141起,￥3141起,￥3141起,目的地跟团,西海岸
美国洛杉矶+死亡谷国家公园3日跟团游·【途风首创?坐着房车去旅行】(3天)死亡谷原生态探险小众游：星空摄影体验、徒步穿越“星球大战”塔,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,暂无景点信息,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,3141,￥3141起,￥3141起,￥3141起,￥3141起,￥3141起,￥3141起,￥3141起,目的地跟团,西海岸
美国洛杉矶3日跟团游·【途风首创?坐着房车去旅行】(3天)莫诺湖、猛犸湖、博蒂鬼镇原生态房车小众游：赏湖滑雪鬼镇探奇，,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,暂无景点信息,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,3141,￥3141起,￥3141起,￥3141起,￥3141起,￥3141起,￥3141起,￥3141起,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+丹佛+黄石国家公园+大提顿国家公园+盐湖城+大峡谷国家公园8日跟团游·【大峡谷+黄石入住小木屋】国家公园之旅,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共14个景点，包含7个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,5098,,,,￥5546起,,,,目的地跟团,西海岸
美国旧金山+洛杉矶+拉斯维加斯+布莱斯峡谷国家公园+里奇菲尔德+黄石国家公园+大提顿国家公园+盐湖城+大峡谷国家公园11日跟团游·峡谷盛宴——畅游奇美黄石公园、荒原峡谷,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共28个景点，包含16个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,旧金山,4976,￥4976起,￥4976起,￥4976起,￥4976起,￥4976起,,,目的地跟团,西海岸
美国洛杉矶2日跟团游·【私家包团 途风首创?坐着房车去旅行】(2天)约书亚树国家公园、棕榈泉原生态风情小众游：徒步探险,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,暂无景点信息,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,2094,￥2094起,￥2094起,￥2094起,￥2094起,￥2094起,￥2094起,￥2094起,目的地跟团,西海岸
美国加利福尼亚州+洛杉矶+旧金山4日跟团游·【途风首创?坐着房车去旅行】(4天)房车原生态露营体验小众游：一号公路+大城小镇“漫”体验,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共12个景点，包含5个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,,,,,,,,,,目的地跟团,西海岸
美国旧金山+洛杉矶+圣乔治+布莱斯峡谷国家公园+锡安国家公园+拉斯维加斯+大峡谷国家公园9日跟团游·西南巨环经典路线：壮丽东峡谷、南峡谷,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共17个景点，包含13个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,,,,,,,,,,目的地跟团,西海岸
美国加利福尼亚州+洛杉矶+红杉国家公园+优胜美地国家公园4日跟团游·【途风首创?坐着房车去旅行】(4天)美西国家公园原生态露营体验小众游：优胜美地、帝王谷、红杉树国,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共4个景点，包含2个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,4066,￥4066起,￥4066起,￥4066起,￥4066起,￥4066起,￥4066起,￥4066起,目的地跟团,西海岸
美国西海岸+旧金山+蒙特雷+洛杉矶4日3晚跟团游(4钻)·品酒+烘焙体验+特色餐+1号公路3晚深度,跟团游,供应商：联合发团,"2晚4钻,1晚3钻",共9个景点，包含5个经典景点：,行车时长1.7小时,10次非自理,暂无自由活动信息,,,,,,,旧金山,10300,￥10300起,,,,,,,目的地跟团,西海岸
摄影之旅·美国大峡谷国家公园+布莱斯峡谷国家公园+拉斯维加斯6日5晚跟团游·四大国家公园小众轻奢6日游（洛杉矶进出）,跟团游,供应商：绝色美西,"2晚2钻,3晚3钻",共14个景点，包含7个经典景点：,行车时长52小时,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,6295,￥7695起,,,,,,,目的地跟团,西海岸
摄影之旅·美国黄石国家公园9日8晚跟团游(3钻)·洛杉矶-两晚黄石公园-羚羊彩穴-布莱斯峡谷,跟团游,供应商：嘉洋假期,"6晚3钻,2晚4钻",共14个景点，包含9个经典景点：,行车时长34.1小时,1次非自理，23次自理,自由活动1次/3小时,,,,,,,洛杉矶,6331,,￥6331起,￥6331起,￥6331起,￥6331起,,,目的地跟团,西海岸
摄影之旅·美国黄石国家公园+大峡谷国家公园+拉斯维加斯13日12晚跟团游·美国国家公园大环线小众轻奢13日游,跟团游,供应商：绝色美西,"5晚2钻,6晚3钻,1晚4钻",共31个景点，包含14个经典景点：,行车时长113.8小时,暂无用餐信息,自由活动1次/3小时,,,,,,,洛杉矶,23095,￥23095起,,,,,,,目的地跟团,西海岸
"美国西海岸+拉斯维加斯+盐湖城+黄石国家公园+洛杉矶11日10晚跟团游·六大国家公园,黄石公园,洛杉矶当地早晨出发",跟团游,供应商：美西国际旅游,"6晚3钻,3晚2钻,1晚3钻或2钻以下",共24个景点，包含11个经典景点：,行车时长42.4小时,21次自理,暂无自由活动信息,,,,,,,洛杉矶,6776,￥6776起,￥6776起,,,,,,目的地跟团,西海岸
美国洛杉矶+旧金山5日4晚跟团游·醉美一号公路浪漫铛铛车+洛杉矶主题任选,跟团游,供应商：美西国际旅游,4晚3钻,共14个景点，包含11个经典景点：,行车时长20.8小时,11次自理,暂无自由活动信息,,,,,,,洛杉矶,3766,￥3766起,￥3766起,￥3766起,￥3766起,￥3766起,￥3766起,￥3766起,目的地跟团,西海岸
拉斯维加斯+洛杉矶+大峡谷国家公园6日5晚跟团游(3钻)·玻璃桥【LAS免费接送机+主题乐园门票】,跟团游,供应商：纳美旅行,5晚3钻,共23个景点，包含15个经典景点：,行车时长17小时,暂无用餐信息,自由活动1次,,,,,,,拉斯维加斯,5104,￥5104起,￥5104起,￥5104起,￥5104起,￥5104起,￥5104起,￥5104起,目的地跟团,西海岸
丹佛+盐湖城+大提顿国家公园+风洞国家公园6日5晚跟团游(3钻)·恶地公园+总统山+魔鬼峰【丹佛接机】,跟团游,供应商：纳美旅行,5晚3钻,共8个景点，包含6个经典景点：,行车时长10小时,暂无用餐信息,自由活动1次,,,,,,,丹佛,3010,￥3480起,,,￥3629起,,,￥3623起,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+大峡谷国家公园7日6晚跟团游(3钻)·精华游【洛杉矶免费接送机+主题乐园门票】,跟团游,供应商：纳美旅行,6晚3钻,共25个景点，包含15个经典景点：,行车时长43小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,5500,￥5880起,￥5633起,￥5880起,￥5874起,￥5880起,￥5864起,￥5880起,目的地跟团,西海岸
美国旧金山+拉斯维加斯+洛杉矶7日6晚跟团游(3钻)·【旧金山免费接送机+主题乐园门票】,跟团游,供应商：纳美旅行,6晚3钻,共12个景点，包含10个经典景点：,行车时长25小时,暂无用餐信息,自由活动1次,,,,,,,旧金山,4229,￥4229起,￥4229起,￥4229起,￥4229起,￥4229起,￥4229起,￥4229起,目的地跟团,西海岸
拉斯维加斯+洛杉矶+旧金山9日8晚跟团游(3钻)·大峡谷【LAS免费接送机+主题乐园门票】,跟团游,供应商：纳美旅行,8晚3钻,共25个景点，包含20个经典景点：,行车时长14小时,暂无用餐信息,自由活动1次,,,,,,,拉斯维加斯,5499,￥5499起,￥5499起,￥5499起,￥5499起,￥5499起,￥5499起,￥5499起,目的地跟团,西海岸
拉斯维加斯+洛杉矶+大峡谷国家公园4日3晚跟团游(3钻)·【LAS免费接送机+主题乐园门票】,跟团游,供应商：纳美旅行,3晚3钻,共11个景点，包含9个经典景点：,行车时长13小时,暂无用餐信息,自由活动1次,,,,,,,拉斯维加斯,2205,￥2205起,￥2205起,￥2205起,￥2205起,￥2205起,￥2205起,￥2205起,目的地跟团,西海岸
美国洛杉矶+旧金山6日5晚跟团游(3钻)·精华游【洛杉矶免费接送机+主题乐园门票】,跟团游,供应商：纳美旅行,5晚3钻,共18个景点，包含13个经典景点：,行车时长13小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,4699,￥4699起,￥4699起,￥4699起,￥4699起,￥4699起,￥4699起,￥4699起,目的地跟团,西海岸
美国盐湖城+黄石国家公园+大提顿国家公园4日3晚跟团游(3钻)·杨百翰故居+爱达荷瀑布 【盐湖城进出】,跟团游,供应商：纳美旅行,3晚3钻,共12个景点，包含5个经典景点：,行车时长6小时,暂无用餐信息,暂无自由活动信息,,,,,,,盐湖城,2204,,,,,,,,目的地跟团,西海岸
美国洛杉矶+圣乔治+盐湖城+拉斯维加斯+大峡谷西峡+旧金山10日9晚跟团游(3钻)·拱门黄石公园普沃【洛杉矶进出+西南巨环】,跟团游,供应商：纳美旅行,9晚3钻,共25个景点，包含16个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,5230,,,,￥5230起,￥5230起,,,目的地跟团,西海岸
丹佛+黄石国家公园+大提顿国家公园+盐湖城+拉斯维加斯+大峡谷国家公园+旧金山13日12晚跟团游(3钻)·总统山+主题乐园【丹佛接机+主题乐园门票】,跟团游,供应商：纳美旅行,12晚3钻,共25个景点，包含21个经典景点：,行车时长10小时,暂无用餐信息,自由活动1次,,,,,,,丹佛,7539,￥8717起,,,￥9090起,,,￥9075起,目的地跟团,西海岸
洛杉矶+拉斯维加斯+丹佛+盐湖城+黄石国家公园8日7晚跟团游(3钻)·羚羊峡谷-拱门-公园总统巨石【洛杉矶接机】,跟团游,供应商：纳美旅行,7晚3钻,共11个景点，包含8个经典景点：,行车时长4小时,暂无用餐信息,自由活动1次,,,,,,,,,,,,,,,,目的地跟团,西海岸
旧金山+拉斯维加斯+丹佛+黄石国家公园+大峡谷西峡+洛杉矶14日13晚跟团游(3钻)·拱门+主题乐园【旧金山接机+主题乐园门票】,跟团游,供应商：纳美旅行,13晚3钻,共26个景点，包含20个经典景点：,行车时长13小时,暂无用餐信息,自由活动1次,,,,,,,旧金山,8042,￥9730起,￥9697起,￥9730起,￥9730起,,,,目的地跟团,西海岸
美国洛杉矶+圣乔治+盐湖城+拉斯维加斯+黄石国家公园8日7晚跟团游(3钻)·拱门-普沃【洛杉矶免费接机+西南巨环】,跟团游,供应商：纳美旅行,7晚3钻,共18个景点，包含10个经典景点：,行车时长13小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,3852,,,￥3852起,￥3852起,,,,目的地跟团,西海岸
洛杉矶+旧金山+黄石国家公园+盐湖城+拉斯维加斯12日11晚跟团游(3钻)·【自由行+接送机+小木屋+主题乐园门票】,跟团游,供应商：纳美旅行,"8晚3钻,3晚4钻",共26个景点，包含17个经典景点：,行车时长48小时,暂无用餐信息,自由活动2次,,,,,,,洛杉矶,7388,￥8936起,￥8936起,￥8908起,￥8936起,￥8893起,￥8936起,￥8542起,目的地跟团,西海岸
美国洛杉矶+圣乔治+布莱斯峡谷国家公园+盐湖城+大提顿国家公园+黄石国家公园+拉斯维加斯+大峡谷西峡+旧金山+优胜美地国家公园14日13晚跟团游(3钻)·黄石两天【黄石小木屋+主题乐园门票】,跟团游,供应商：纳美旅行,"11晚3钻,2晚4钻",共36个景点，包含24个经典景点：,行车时长2小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,8848,￥9990起,￥9990起,￥9990起,￥9990起,￥9990起,￥9990起,￥9990起,目的地跟团,西海岸
美国洛杉矶+圣乔治+布莱斯峡谷国家公园+盐湖城+大提顿国家公园+黄石国家公园+拉斯维加斯+大峡谷西峡+旧金山+优胜美地国家公园11日10晚跟团游(3钻)·黄石两天升级团【洛杉矶出发+黄石小木屋】,跟团游,供应商：纳美旅行,"8晚3钻,2晚4钻",共26个景点，包含18个经典景点：,行车时长4小时,暂无用餐信息,暂无自由活动信息,,,,,,,洛杉矶,5476,,,￥6182起,￥6182起,￥6182起,￥6182起,,目的地跟团,西海岸
美国旧金山+优胜美地国家公园+黄石国家公园+盐湖城+洛杉矶+大提顿国家公园+圣乔治13日12晚跟团游(3钻)·黄石两晚【黄石小木屋+主题乐园门票】,跟团游,供应商：纳美旅行,"10晚3钻,2晚4钻",共34个景点，包含21个经典景点：,行车时长4小时,暂无用餐信息,自由活动1次,,,,,,,旧金山,8646,￥9762起,￥9762起,￥9762起,,￥9762起,￥9762起,￥9762起,目的地跟团,西海岸
拉斯维加斯+洛杉矶+旧金山7日6晚跟团游(3钻)·优胜美地+大峡谷玻璃桥【免费接送机】,跟团游,供应商：纳美旅行,6晚3钻,共13个景点，包含13个经典景点：,行车时长10小时,暂无用餐信息,自由活动1次,,,,,,,拉斯维加斯,2602,￥2602起,￥2602起,￥2602起,￥2602起,￥2602起,￥2602起,￥2602起,目的地跟团,西海岸
美国旧金山+黄石国家公园+拉斯维加斯+塔霍湖8日7晚跟团游(3钻)·东南双峡【旧金山免费接送机+入住小木屋】,跟团游,供应商：纳美旅行,"2晚4钻,5晚3钻",共17个景点，包含12个经典景点：,行车时长14小时,暂无用餐信息,自由活动1次,,,,,,,旧金山,4194,￥4194起,￥4194起,￥4194起,￥4194起,￥4194起,￥4194起,￥4194起,目的地跟团,西海岸
美国旧金山+拉斯维加斯+洛杉矶8日7晚跟团游(3钻)·大峡谷【旧金山免费接送机+主题公园门票】,跟团游,供应商：纳美旅行,7晚3钻,共17个景点，包含15个经典景点：,行车时长27小时,暂无用餐信息,自由活动1次,,,,,,,旧金山,4364,￥4677起,￥4677起,￥4677起,￥4677起,￥4677起,￥4677起,￥4677起,目的地跟团,西海岸
美国旧金山+拉斯维加斯+黄石国家公园+洛杉矶+塔霍湖+纳帕8日7晚跟团游(3钻)·东南双峡【旧金山出发+自由行+入住小木屋】,跟团游,供应商：纳美旅行,"5晚3钻,2晚4钻",共14个景点，包含11个经典景点：,行车时长14小时,暂无用餐信息,自由活动1次,,,,,,,旧金山,4307,￥4307起,￥4307起,￥4307起,￥4307起,￥4307起,￥4307起,￥4307起,目的地跟团,西海岸
美国旧金山+黄石国家公园+拉斯维加斯+塔霍湖11日10晚跟团游(3钻)·免费接机+自由行+黄石小木屋+主题乐园门票,跟团游,供应商：纳美旅行,"3晚4钻,7晚3钻",共27个景点，包含17个经典景点：,行车时长33小时,暂无用餐信息,自由活动2次,,,,,,,旧金山,8170,￥8170起,￥8170起,￥8170起,￥8170起,￥8170起,￥8170起,￥8170起,目的地跟团,西海岸
洛杉矶+拉斯维加斯+黄石国家公园+旧金山12日11晚跟团游(3钻)·【洛杉矶免费接送机+主题乐园门票】,跟团游,供应商：纳美旅行,11晚3钻,共28个景点，包含19个经典景点：,行车时长22小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,7233,,￥7233起,￥7233起,￥7233起,￥7233起,￥7233起,￥7233起,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+旧金山7日6晚跟团游(3钻)·大峡谷玻璃桥精华游【洛杉矶免费接送机】,跟团游,供应商：纳美旅行,6晚3钻,共13个景点，包含12个经典景点：,行车时长25小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,2355,￥2583起,￥2583起,￥2583起,￥2583起,￥2583起,￥2583起,￥2583起,目的地跟团,西海岸
美国洛杉矶+旧金山7日6晚跟团游(3钻)·精华游【洛杉矶免费接送机+主题乐园门票】,跟团游,供应商：纳美旅行,6晚3钻,共24个景点，包含16个经典景点：,行车时长15小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,5955,￥6238起,￥6238起,￥6238起,￥6359起,￥6238起,￥6349起,￥6238起,目的地跟团,西海岸
洛杉矶6日5晚跟团游(3钻)·欢乐游【洛杉矶免费接送机+主题公园门票】,跟团游,供应商：纳美旅行,5晚3钻,共20个景点，包含14个经典景点：,行车时长16小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,7318,￥7666起,￥7495起,￥7666起,￥7816起,￥7666起,￥7803起,￥7666起,目的地跟团,西海岸
拉斯维加斯+洛杉矶+旧金山8日7晚跟团游(3钻)·大峡谷【LAS免费接送机+主题乐园门票】,跟团游,供应商：纳美旅行,7晚3钻,共25个景点，包含20个经典景点：,行车时长21小时,暂无用餐信息,自由活动1次,,,,,,,拉斯维加斯,5216,￥5216起,￥5216起,￥5216起,￥5216起,￥5216起,￥5216起,￥5216起,目的地跟团,西海岸
洛杉矶5日4晚跟团游(3钻)·欢乐游【洛杉矶免费接送机+主题公园门票】,跟团游,供应商：纳美旅行,4晚3钻,共14个景点，包含10个经典景点：,行车时长14小时,暂无用餐信息,自由活动1次,,,,,,,洛杉矶,6114,￥6114起,￥6114起,￥6114起,￥6114起,￥6114起,￥6114起,￥6114起,目的地跟团,西海岸
